False positive rate (1-specificity),True positive rate (sensitivity)
"0","0"
"0","0"
"0.005791505791505791","0.12299465240641712"
"0.011583011583011582","0.22459893048128343"
"0.025096525096525095","0.2620320855614973"
"0.03088803088803089","0.31016042780748665"
"0.04054054054054054","0.3689839572192513"
"0.04633204633204633","0.4117647058823529"
"0.06563706563706563","0.44919786096256686"
"0.07142857142857142","0.4919786096256685"
"0.08494208494208494","0.5187165775401069"
"0.09652509652509653","0.5614973262032086"
"0.10617760617760617","0.5989304812834224"
"0.1138996138996139","0.6363636363636364"
"0.13320463320463322","0.679144385026738"
"0.16602316602316602","0.7219251336898396"
"0.19111969111969113","0.7433155080213903"
"0.21042471042471042","0.7807486631016043"
"0.2471042471042471","0.8021390374331551"
"0.28185328185328185","0.839572192513369"
"0.31467181467181465","0.8556149732620321"
"0.33783783783783783","0.8877005347593583"
"0.3552123552123552","0.9037433155080213"
"0.3861003861003861","0.9251336898395722"
"0.48841698841698844","0.9411764705882353"
"0.5463320463320464","0.9625668449197861"
"0.7258687258687259","0.983957219251337"
"0.9459459459459459","1"
"1","1"
"1","1"
